"","x"
"1",0.0375675037503242
"2",0.0204820018261671
"3",0.0352717787027359
"4",0.0501775927841663
"5",0.0501775927841663
"6",0.0501775927841663
"7",0.0363477878272533
"8",0.0345593877136707
"9",0.0597701780498028
"10",0.0501391589641571
"11",0.0594159588217735
"12",0.0594159588217735
"13",0.0318890996277332
"14",0.0571510680019855
"15",0.0539259873330593
"16",0.0559606924653053
"17",0.0559606924653053
"18",0.0519170314073563
"19",0.0579339526593685
"20",0.051604013890028
"21",0.051604013890028
"22",0.051604013890028
"23",0.0516565777361393
"24",0.0539694167673588
"25",0.0564839281141758
"26",0.0531521402299404
"27",0.0527817197144032
"28",0.0562055371701717
"29",0.0513496026396751
"30",0.0562055371701717
"31",0.0562055371701717
"32",0.0562055371701717
"33",0.0533081963658333
"34",0.0558473579585552
"35",0.0533081963658333
"36",0.0533081963658333
"37",0.0520410425961018
"38",0.0520410425961018
"39",0.0559405349195004
"40",0.0522314086556435
"41",0.0555623956024647
"42",0.0555623956024647
"43",0.055736742913723
"44",0.0547190941870213
"45",0.0547190941870213
"46",0.0547190941870213
"47",0.055736742913723
"48",0.055736742913723
"49",0.0507484078407288
"50",0.0535775646567345
"51",0.0515318140387535
"52",0.050127811729908
"53",0.050127811729908
"54",0.0515239089727402
"55",0.0504572242498398
"56",0.0499228611588478
"57",0.0493923500180244
"58",0.0458516329526901
"59",0.0493923500180244
"60",0.0493923500180244
"61",0.0458516329526901
"62",0.0501146763563156
"63",0.0465146638453007
"64",0.0475879795849323
"65",0.0495922975242138
"66",0.0475879795849323
"67",0.0494707003235817
"68",0.0495922975242138
"69",0.0509733594954014
"70",0.0458268746733665
"71",0.0456589311361313
"72",0.0456589311361313
"73",0.0475733056664467
"74",0.0475733056664467
"75",0.0456589311361313
"76",0.0456589311361313
"77",0.0475733056664467
"78",0.0468177534639835
"79",0.0435725599527359
"80",0.0435725599527359
"81",0.043332464993
"82",0.0464983768761158
"83",0.0464983768761158
"84",0.0464983768761158
"85",0.0437585227191448
"86",0.0464983768761158
"87",0.0464983768761158
"88",0.0437364727258682
"89",0.0437364727258682
"90",0.0437364727258682
"91",0.0437364727258682
"92",0.0437364727258682
"93",0.0437364727258682
"94",0.0437364727258682
"95",0.0437364727258682
"96",0.0465593039989471
"97",0.045388575643301
"98",0.045388575643301
"99",0.0450590588152409
"100",0.0450590588152409
"101",0.0450590588152409
"102",0.0428793579339981
"103",0.0428793579339981
"104",0.0428793579339981
"105",0.0450590588152409
"106",0.0450590588152409
"107",0.0450590588152409
"108",0.0450590588152409
"109",0.0450590588152409
"110",0.0443331077694893
"111",0.0462214723229408
"112",0.0446827076375484
"113",0.0446827076375484
"114",0.0455860793590546
"115",0.0467108450829983
"116",0.0438102521002293
"117",0.0426680035889149
"118",0.0426680035889149
"119",0.0477799475193024
"120",0.0457895286381245
"121",0.0457895286381245
"122",0.0457895286381245
"123",0.0439550988376141
"124",0.0439550988376141
"125",0.0439550988376141
"126",0.0439550988376141
"127",0.0439550988376141
"128",0.0426161289215088
"129",0.04165855422616
"130",0.0426161289215088
"131",0.0426161289215088
"132",0.0415265709161758
"133",0.0415265709161758
"134",0.0415265709161758
"135",0.0415265709161758
"136",0.0415265709161758
"137",0.0443538054823875
"138",0.0415265709161758
"139",0.0423814952373505
"140",0.0415265709161758
"141",0.0430232658982277
"142",0.0430232658982277
"143",0.0430232658982277
"144",0.0445023737847805
"145",0.0425982363522053
"146",0.0440397635102272
"147",0.0438277572393417
"148",0.043189886957407
"149",0.043189886957407
"150",0.0443362817168236
"151",0.043450839817524
"152",0.043450839817524
"153",0.043450839817524
