values,Centroid_Longitude,Centroid_Latitude,km,mpa_id,oceanmpa.trend_mean.8.5N
1.994999886,-169.678481,57.34595566,3.692069598,4498,0.036094911
2.203001022,-169.670667,-14.18735779,4.682789616,7564,0.033651751
-0.333999634,-169.511997,16.75340979,5.298141482,8764,0.030521957
2.099000931,-169.4538076,-14.23972728,3.524438522,8718,0.033651751
2.729000568,-168.7079698,54.03321776,0.939135708,8520,0.035762057
1.866999865,-168.4796043,61.69078024,2.250399623,8560,0.030877026
2.182001114,-168.1557189,-14.54506581,3.327781564,8847,0.033831999
2.182001114,-168.1557117,-14.54505444,3.326868438,342,0.033831999
2.182001114,-168.1476613,-14.54274642,2.441979581,7481,0.033831999
2.182001114,-168.1476613,-14.5422663,2.439947459,8343,0.033831999
2.802000046,-167.89,53.89082574,2.016293527,5863,0.034746122
2.72699976,-167.3670245,53.58655991,4.305979698,7553,0.034746122
2.72699976,-167.3670245,53.58655991,4.305979698,7561,0.034746122
2.304999828,-166.6051588,53.1773036,3.694291946,8549,0.035281509
1.738999844,-165.7,55.45,1.064695584,8521,0.039738953
2.315000057,-165.1458802,59.90505859,3.540112225,8561,0.034639772
2.095000267,-163.9999956,55.12730321,2.661181174,8587,0.042030659
2.410999775,-163.9961459,54.80612789,17.09578667,8786,0.040335786
1.917999744,-163.564785,56.46319085,1.519731091,8552,0.040566958
1.588000298,-163.2611189,61.28214774,17.10519862,8760,0.035935458
2.187000275,-163.0833,-13.25000002,6.463057874,5938,0.03008919
1.896999836,-163.0007218,56.49986889,5.259159339,7562,0.040566958
1.947999954,-163.000353,56.50004455,5.27597802,8543,0.040566958
1.947999954,-163.0003435,56.50003908,5.276791485,4508,0.040566958
2.540999889,-162.801495,55.36735812,1.051939527,1863,0.042697743
-1.034999847,-162.5825917,23.29975598,4.275397254,8569,0.031190298
-1.034999847,-162.5825917,23.29975602,4.275398191,4509,0.031190298
2.28000021,-162.5218507,56.72757204,2.457913084,8616,0.042743962
2.761000156,-162.4307921,55.37398817,7.006222986,4243,0.042697743
2.761000156,-162.42453,55.33384699,8.704252809,2381,0.042697743
2.695999146,-162.3867898,6.409713917,4.074324821,8765,0.03113422
2.695999146,-162.386784,6.4097217,4.074939982,3632,0.03113422
2.73500061,-162.2018151,6.143189139,2.147519446,8345,0.03113422
2.807998657,-162.079575,5.880792413,4.242218753,8772,0.031220224
2.807998657,-162.079569,5.880800199,4.241694407,3633,0.031220224
1.627000332,-161.9220709,54.91298389,4.818900113,7559,0.040067445
1.535999775,-161.7827597,54.84353526,3.544228875,7551,0.040067445
1.93900013,-161.7150699,58.78076864,1.271821583,3626,0.043292385
2.21999979,-161.0975368,55.99058231,3.972853704,3631,0.042712238
1.942000389,-161.0350125,56.9838503,2.866529437,8518,0.043290935
1.942000389,-161.0350018,56.98384497,2.866034011,4502,0.043290935
-0.906000137,-160.5749665,21.70855437,3.440175777,8166,0.030847894
1.806000233,-160.5736466,57.40746235,4.087351282,7552,0.044216316
1.590999603,-160.4232687,58.65429108,3.837966427,7541,0.044304177
1.616999626,-160.3241273,58.68108343,3.562921159,1558,0.044304177
1.619000435,-160.131016,58.60118948,2.669772047,8663,0.044304177
-0.913999557,-160.1043005,21.79952675,2.309215521,5124,0.030847894
-0.913999557,-160.0992643,21.81091077,3.411917705,8165,0.030847894
1.882999897,-160.079547,57.60942918,2.843286059,8538,0.044216316
1.882999897,-160.0795356,57.60942421,2.843084068,4496,0.044216316
1.433000565,-159.9983103,-0.373936032,4.446636562,8819,0.031329222
1.433000565,-159.9963948,-0.376018164,4.233565388,341,0.031329222
0.842000961,-159.8,-18.85000001,2.915164727,6743,0.028008606
1.079999924,-159.7667,-21.23330001,3.795152046,7102,0.027658632
1.02699852,-159.75,-18.86670004,4.480163485,7101,0.028008606
1.02699852,-159.75,-18.86670004,4.480163485,7152,0.028008606
1.02699852,-159.75,-18.86670007,4.480162796,7151,0.028008606
-1.067998886,-159.6732811,21.95822892,3.614983087,2415,0.030853556
-1.067998886,-159.6708692,21.9539404,3.89445225,8146,0.030853556
-0.929998398,-159.5892135,21.89882233,4.544698305,8151,0.030853556
-0.929998398,-159.5892078,21.89882641,4.545440591,5129,0.030853556
-0.770999908,-159.4958388,21.85834064,4.29054496,8164,0.030853556
-0.789999008,-159.4576057,22.26402162,3.074403321,5103,0.031008936
-0.733999252,-159.4133332,21.85267446,4.669953508,5118,0.030853556
-0.778999329,-159.3568105,21.95283076,6.745983957,8153,0.030853556
-0.778999329,-159.3568105,21.95283074,6.74598416,5123,0.030853556
-0.670999527,-159.3400043,21.99622265,6.208378717,2414,0.030853556
-0.778999329,-159.3370407,21.99299393,6.062011302,8149,0.030853556
-0.778999329,-159.3369222,21.99303371,6.05540287,5104,0.030853556
0.926000595,-158.9667,-19.35000014,2.915403372,6742,0.027600732
2.718999863,-158.9454566,56.78638558,0.979384624,3630,0.040684886
1.034000397,-158.46666,-20.35000002,2.912510088,6416,0.02746984
-1.026000977,-158.3351038,21.55243533,4.296689727,5107,0.030861676
-0.85200119,-158.3257244,21.62550522,3.520859074,8163,0.030861676
